english_name,iso3,cv_code,espeak_code,lineage,family_0,family_1,family_2
Serbian,srp,sr,sr,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Western South Slavic', 'Serbian-Croatian-Bosnian', 'Shtokavski', 'New Shtokavian', 'Eastern Herzegovinian Shtokavian', 'Serbian Standard']",Indo-European,Balto-Slavic,South Slavic
Swahili,swa,sw,sw,"['Niger-Congo', 'Atlantic-Congo', 'Bantoid']",Niger-Congo,Atlantic-Congo,Bantoid
Swedish,swe,sv-SE,sv,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'North Germanic', 'North Scandinavian', 'East-Central Swedic', 'East Swedic', 'Swedish']",Indo-European,Germanic,North Germanic
Tamil,tam,ta,ta,"['Dravidian', 'South Dravidian', 'South Dravidian I', 'Tamil-Kannada', 'Tamil-Kota', 'Tamil-Toda', 'Tamil-Irula', 'Tamil-Kodagu', 'Tamil-Malayalam', 'Tamiloid', 'Tamil-Paliyan', 'Tamil']",Dravidian,South Dravidian,South Dravidian
Turkish,tur,tr,tr,"['Turkic', 'Common Turkic', 'Oghuz', 'Nuclear Oghuz', 'West Oghuz', 'Turkish']",Turkic,Oghuz,Western
Vietnamese,vie,vi,vi,"['Austroasiatic', 'Vietic', 'Viet-Muong', 'Vietnamese']",Austroasiatic,Vietic,Viet-Muong
Vietnamese,vie,vi,vi-hue,"['Austroasiatic', 'Vietic', 'Viet-Muong', 'Vietnamese']",Austroasiatic,Vietic,Viet–Mường
Vietnamese,vie,vi,vi-sgn,"['Austroasiatic', 'Vietic', 'Viet-Muong', 'Vietnamese']",Austroasiatic,Vietic,Viet–Mường
Cantonese,yue,yue,zh-yue,"['Sino-Tibetan', 'Sinitic', 'Classical-Middle-Modern Sinitic', 'Middle-Modern Sinitic', 'Yue-Pinghua', 'Yue Chinese']",Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic
Mandarin,zho,zh-TW,zh,"['Sino-Tibetan', 'Sinitic', 'Sinitic']",Sino-Tibetan,Sinitic,Sinitic
Mandarin,zho,zh-CN,zh,"['Sino-Tibetan', 'Sinitic', 'Sinitic']",Sino-Tibetan,Sinitic,Sinitic
Mandarin,zho,zh-HK,zh,"['Sino-Tibetan', 'Sinitic', 'Sinitic']",Sino-Tibetan,Sinitic,Sinitic
